"UniProt_ID","Summary"
"A0A193DU97","Byssus HSP-like (heat shock protein like) protein, Endoplasmic reticulum chaperone BiP 1 hit, Heat shock 70 kDa 1 hit, Putative Hsp70 family ATPase KAR2 1 hit [Uniprot, 2016]"
"P60043","Phospholipase A2 1, predicted to be excreted outside cell membrane, extracellular region, calcium ion binding, calcium-dependent phospholipase A2 activity, calcium-independent phospholipase A2 activity, phospholipid binding, arachidonate secretion, lipid catabolic process, phospholipid metabolic [Uniprot]"
"Q9BXW7","This gene encodes a steroid binding protein that was first described as a plasma protein secreted by the liver but is now thought to participate in the regulation of steroid responses. The encoded protein transports androgens and estrogens in the blood, binding each steroid molecule as a dimer formed from identical or nearly identical monomers. Polymorphisms in this gene have been associated with polycystic ovary syndrome and type 2 diabetes mellitus. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
"Q5R8K0","DNA damage inducible transcript 4 like,Inhibits cell growth by regulating the TOR signaling pathway (regulates cellular metabolic status and growth) upstream of the TSC1-TSC2 complex (tumor suppression) and downstream of AKT1 (oncogene, also regulates cell growth). [Uniprot + google]"
"Q9VGZ5","Enables DNA-binding transcription factor activity. Involved in dendrite morphogenesis; regulation of circadian rhythm; and regulation of gene expression. Located in nucleus. Is expressed in several structures, including Malpighian tubule primordium; embryonic/larval midgut primordium; gut section; head; and pacemaker neurons. Orthologous to human HELT (helt bHLH transcription factor). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9UBQ7","This gene encodes a member of the LSm family of RNA-binding proteins. LSm proteins form stable heteromers that bind specifically to the 3'-terminal oligo(U) tract of U6 snRNA and may play a role in pre-mRNA splicing by mediating U4/U6 snRNP formation. Increased expression of this gene may play a role in cellular transformation and the progression of several malignancies including lung cancer, mesothelioma and breast cancer. Alternatively spliced transcript variants have been observed for this gene, and a pseudogene of this gene is located on the short arm of chromosome 9. [provided by RefSeq, Nov 2011]"
"Q1HG43","Dual oxidases DUOX1 and DUOX2 are NADPH oxidases which are involved in hydrogen peroxide production necessary for thyroid hormonogenesis. They form a heterodimer with specific maturation factors DUOXA1 and DUOXA2, respectively, which is essential for the maturation and function of the DUOX enzyme complexes. This gene encodes the DUOX1 activator or maturation factor DUOXA1. Rat studies identified a bidirectional promoter which controls the transcription of the DUOX1 and DUOXA1 genes. This protein is cotransported to the cell surface when coexpressed with DUOX1 and is retained in the endoplasmic reticulum when expressed without DUOX1 protein. The expression of this gene or the DUOX1 gene is not suppressed by thyroglobulin (Tg), a macromolecular precursor in thyroid hormone synthesis, while the expression of the DUOX2 and DUOXA2 are significantly suppressed by the Tg. This protein is also a p53-regulated neurogenic factor involved in p53 dependent neuronal differentiation. Multiple alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2013]"
"P59722","This gene encodes a component of a transcriptional complex that plays a central role in mammalian oxygen homeostasis. Hypoxia reduces the activity of prolyl hyxroxylases that hydroxylate specific proline residues of the hypoxia-inducible factor-1a (Hif1a). In the absence of hydroxylation, the Hif1a transcription factor accumulates and activates transcription of hypoxia-responsive target genes. This gene encodes one of the three known Hif-interacting 2-oxoglutarate/iron-dependent prolyl-hydroxylases (HIF-PHDs) in rat. Targeted disruption of this gene in mice produced embryonic lethality between embryonic day 12.5 and day 14.5. Based on the transcript data currently available for rat, this Reference Sequence is believed to contain the complete coding region for this gene. However, when compared to its mouse and human orthologs, it has a shorter 5' coding region and an incomplete N-terminus zf-MYND domain. This locus currently has limited transcript data and aligns to an unfinished region of the rat reference genome assembly. It is therefore uncertain whether its coding region can be extended at the 5' end to encode a complete zf-MYND domain, whether no further changes need to be made to its coding region, or whether it is a transcribed pseudogene that does not encode a functional protein. As more transcript and experimental data become available, the coding status of this locus may change. [provided by RefSeq, Jul 2008]"
"Q5XK91","Predicted to enable chitin binding activity and metal ion binding activity. Predicted to be located in membrane. Orthologous to human FIBCD1 (fibrinogen C domain containing 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9N1R6","solute carrier family 7 member 9 (in rabbits), IN HUMANS, This gene encodes a protein that belongs to a family of light subunits of amino acid transporters. This protein plays a role in the high-affinity and sodium-independent transport of cystine and neutral and dibasic amino acids, and appears to function in the reabsorption of cystine in the kidney tubule. Mutations in this gene cause non-type I cystinuria, a disease that leads to cystine stones in the urinary system due to impaired transport of cystine and dibasic amino acids. Alternate transcript variants, which encode the same protein, have been found for this gene. [provided by RefSeq, Jul 2011]"
"A0A7E6FSU6","Selectively catalyzes the oxidative deamination of acidic amino acids (PubMed:7915543). Suppresses the level of D-aspartate in the brain, an amino acid that can act as an agonist for glutamate receptors (By similarity). Protects the organism from the toxicity of D-amino acids (By similarity).May also function in the intestine (By similarity) [Uniprot]"
"P06603","Predicted to enable GTP binding activity. Predicted to be a structural constituent of cytoskeleton. Involved in lysosome localization. Located in astral microtubule; centrosome; and perinuclear region of cytoplasm. Is expressed in several structures, including appendage; central nervous system; germline cell; gonad; and imaginal disc. Human ortholog(s) of this gene implicated in keratoconus; lissencephaly; lissencephaly 3; microcephaly; and visual epilepsy. Orthologous to several human genes including TUBA3C (tubulin alpha 3c) and TUBA3D (tubulin alpha 3d). [provided by Alliance of Genome Resources, Mar 2025]"
"P78509","This gene encodes a large secreted extracellular matrix protein thought to control cell-cell interactions critical for cell positioning and neuronal migration during brain development. This protein may be involved in schizophrenia, autism, bipolar disorder, major depression and in migration defects associated with temporal lobe epilepsy. Mutations of this gene are associated with autosomal recessive lissencephaly with cerebellar hypoplasia. Two transcript variants encoding distinct isoforms have been identified for this gene. Other transcript variants have been described but their full length nature has not been determined. [provided by RefSeq, Jul 2008]"
"A6QLY2","Human ortholog description: Enables catalase activity. Predicted to be involved in cellular response to oxidative stress. Located in endoplasmic reticulum. Implicated in Barrett's adenocarcinoma and Barrett's esophagus. [Human, Refseq]"
"Q642H2","Predicted to enable DNA binding activity and DNA-binding transcription factor activity. Predicted to be involved in positive regulation of D-glucose import; positive regulation of biosynthetic process; and positive regulation of fat cell differentiation. Predicted to act upstream of or within cell differentiation. Predicted to be active in nucleus. Orthologous to human CREBL2 (cAMP responsive element binding protein like 2). [provided by Alliance of Genome Resources, Mar 2025]"
"Q5RAE3","Human ortholog description: Enables several functions, including neutral L-amino acid transmembrane transporter activity; protein heterodimerization activity; and secondary active transmembrane transporter activity. Involved in L-alanine import across plasma membrane; L-leucine import across plasma membrane; and thyroid hormone transport. Located in basolateral plasma membrane and microvillus membrane. [provided by Alliance of Genome Resources, Mar 2025] "
"Q8BL74","Predicted to contribute to DNA binding activity. Predicted to be involved in transcription by RNA polymerase III. Predicted to be located in nucleoplasm. Predicted to be part of transcription factor TFIIIC complex. Is expressed in several structures, including alimentary system; integumental system; nervous system; respiratory system; and sensory organ. Orthologous to human GTF3C2 (general transcription factor IIIC subunit 2). [provided by Alliance of Genome Resources, Mar 2025]"
"Q01650","Enables L-amino acid transmembrane transporter activity and secondary active transmembrane transporter activity. Involved in carboxylic acid transport; thyroid hormone transport; and xenobiotic transport. Located in several cellular components, including apical plasma membrane; cytosol; and microvillus membrane. Part of amino acid transport complex. Implicated in cholangiocarcinoma; colon cancer; hepatocellular carcinoma; and lung squamous cell carcinoma. Biomarker of esophagitis; gastrointestinal system cancer (multiple); malignant astrocytoma (multiple); and respiratory system cancer (multiple). [provided by Alliance of Genome Resources, Mar 2025]"
"Q969M7","Enables NEDD8 conjugating enzyme activity. Involved in protein neddylation. Predicted to be active in cytosol and nucleus. [provided by Alliance of Genome Resources, Mar 2025]"
"E1BD59","Human ortholog description: Enables ubiquitin protein ligase activity. Involved in defense response to virus; positive regulation of signal transduction; and protein monoubiquitination. Predicted to be located in cytoplasm. [provided by Alliance of Genome Resources, Mar 2025]"
"Q9BVA6","Enables several functions, including AMPylase activity; ATP binding activity; and Hsp70 protein binding activity. Involved in protein adenylylation; regulation of IRE1-mediated unfolded protein response; and response to endoplasmic reticulum stress. Located in endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Mar 2025]"
"Q9Z0J4","Enables nitric-oxide synthase activity. Involved in several processes, including nitric oxide biosynthetic process; positive regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway; and positive regulation of the force of heart contraction. Acts upstream of or within several processes, including peptidyl-cysteine S-nitrosylation; positive regulation of transcription by RNA polymerase II; and regulation of metal ion transport. Located in several cellular components, including T-tubule; Z disc; and sarcoplasmic reticulum membrane. Is active in calyx of Held. Colocalizes with caveola. Is expressed in several structures, including alimentary system; genitourinary system; integumental system; nervous system; and sensory organ. Used to study achalasia and hypertrophic pyloric stenosis. Human ortholog(s) of this gene implicated in Alzheimer's disease; Parkinson's disease; asthma; and cystic fibrosis. Orthologous to human NOS1 (nitric oxide synthase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q5ZML6","Human ortholog description: Uncharacterized, Located in mitochondrion. [provided by Alliance of Genome Resources, Mar 2025]"
"Q0VA61","Predicted to enable ATP binding activity and ATP-dependent protein folding chaperone. Predicted to be located in endoplasmic reticulum lumen. Human ortholog(s) of this gene implicated in immunodeficiency 59. Orthologous to human HYOU1 (hypoxia up-regulated 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q90Z12","Enables bHLH transcription factor binding activity and sequence-specific DNA binding activity. Acts upstream of or within several processes, including BMP signaling pathway; chordate embryonic development; and prechordal plate formation. Predicted to be located in nucleus. Is expressed in anatomical system; mesenchyme; pharyngeal arch; and primary germ layer. Orthologous to human HES4 (hes family bHLH transcription factor 4). [provided by Alliance of Genome Resources, Mar 2025]"
"P02594","Human ortholog description: This gene encodes a member of a family of proteins that binds calcium and functions as a enzymatic co-factor. Activity of this protein is important in the regulation of the cell cycle and cytokinesis. Multiple alternatively spliced transcript variants have been observed at this gene. [provided by RefSeq, Aug 2016]"
"Q8R151","Enables RNA binding activity. Involved in activation of innate immune response; defense response to virus; and negative regulation of viral genome replication. Is active in mitochondrial outer membrane. Human ortholog(s) of this gene implicated in primary immunodeficiency disease. Orthologous to human ZNFX1 (zinc finger NFX1-type containing 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q9D5I4","Predicted to enable dynein intermediate chain binding activity. Predicted to be involved in microtubule-based movement. Predicted to be part of cytoplasmic dynein complex. Predicted to be active in cytoplasm. Orthologous to human DYNLT5 (dynein light chain Tctex-type family member 5). [provided by Alliance of Genome Resources, Mar 2025]"
"Q32NH8","Predicted to enable calcium ion binding activity and phosphatidylinositol phospholipase C activity. Predicted to act upstream of or within intracellular signal transduction and lipid catabolic process. Predicted to be located in endoplasmic reticulum; membrane; and nucleus. Orthologous to human PLCD4 (phospholipase C delta 4). [provided by Alliance of Genome Resources, Mar 2025]"
"B1AJZ9","Predicted to act upstream of or within apoptotic process and spermatogenesis. [provided by Alliance of Genome Resources, Mar 2025]"
"A4D263","Predicted to be involved in spermatogenesis. [provided by Alliance of Genome Resources, Mar 2025]"
"Q68FR8","Predicted to enable GTP binding activity. Predicted to be a structural constituent of cytoskeleton. Predicted to be involved in microtubule cytoskeleton organization and mitotic cell cycle. Predicted to act upstream of or within male germ-line stem cell population maintenance. Predicted to be located in microtubule cytoskeleton. Predicted to be active in cytoplasm and microtubule. Human ortholog(s) of this gene implicated in keratoconus. Orthologous to several human genes including TUBA3D (tubulin alpha 3d). [provided by Alliance of Genome Resources, Mar 2025]"
"E9Q555","Predicted to enable ATP hydrolysis activity and ubiquitin protein ligase activity. Involved in angiogenesis; defense response to bacterium; and lipid ubiquitination. Predicted to be located in cytoplasm and lipid droplet. Predicted to be active in cytosol and nucleolus. Is expressed in genitourinary system; gut; heart; and pericardial component. Human ortholog(s) of this gene implicated in Moyamoya disease. Orthologous to human RNF213 (ring finger protein 213). [provided by Alliance of Genome Resources, Mar 2025]"
"P68372","Predicted to enable GTP binding activity and double-stranded RNA binding activity. Predicted to be a structural constituent of cytoskeleton. Involved in flagellated sperm motility. Located in myelin sheath. Is active in sperm flagellum. Is expressed in brain ependyma; epithelial layer of oviduct; germ cell of testis; nasal epithelium; and respiratory system epithelium. Human ortholog(s) of this gene implicated in Leber congenital amaurosis with early-onset deafness. Orthologous to human TUBB4B (tubulin beta 4B class IVb). [provided by Alliance of Genome Resources, Mar 2025]"
"Q98925","Human ortholog description: RF2 encodes interferon regulatory factor 2, a member of the interferon regulatory transcription factor (IRF) family. IRF2 competitively inhibits the IRF1-mediated transcriptional activation of interferons alpha and beta, and presumably other genes that employ IRF1 for transcription activation. However, IRF2 also functions as a transcriptional activator of histone H4. [provided by RefSeq, Jul 2008]"
"Q8N2E2","Predicted to enable signaling receptor binding activity. Predicted to be active in cell surface and extracellular region. [provided by Alliance of Genome Resources, Mar 2025]"
"B5X5D0","piercer of microtubule wall 1 protein, involved_in axoneme assembly"
"Q58DT0","Human ortholog description: This gene encodes an epithelium-specific ETS family transcription factor. In addition to its role in regulating the later stages of terminal differentiation of keratinocytes, it appears to regulate a number of epithelium-specific genes found in tissues containing glandular epithelium such as salivary gland and prostate. It has very low affinity to DNA due to its negative regulatory domain at the amino terminus. This gene has been implicated as a tumor suppressive transcription factor in breast cancer. [provided by RefSeq, May 2022]"
"P31646","Enables amino acid binding activity; creatine transmembrane transporter activity; and organic acid:sodium symporter activity. Involved in gamma-aminobutyric acid import; neurotransmitter transport; and organic acid transmembrane transport. Located in plasma membrane. Orthologous to human SLC6A13 (solute carrier family 6 member 13). [provided by Alliance of Genome Resources, Mar 2025]"
"Q61371","Enables kinesin binding activity. Involved in cilium assembly; regulation of autophagosome assembly; and regulation of cilium assembly. Acts upstream of or within several processes, including circulatory system development; nervous system development; and spermatid development. Located in several cellular components, including ciliary base; cytoskeleton; and non-motile cilium. Part of intraciliary transport particle B. Is expressed in several structures, including alimentary system; brain; genitourinary system; heart; and respiratory system. Used to study autosomal recessive polycystic kidney disease; mitral valve disease; and scimitar syndrome. Orthologous to human IFT88 (intraflagellar transport 88). [provided by Alliance of Genome Resources, Mar 2025]"
"Q5RBP9","macrophage-expressed gene 1 protein, involved_in defense response to bacterium [Refseq]"
"Q05187","Horseshoe crab: Hemocyte protein-glutamine gamma-glutamyltransferase, Catalyzes the cross-linking of proteins and the conjugation of polyamines to proteins. Immune or wound healing functions [J Biol Chem 268 (1), 262-268 (1993)]."
"F4KGU4","helicase domain-containing protein / IBR domain-containing protein / zinc finger protein-like protein [ Arabidopsis thaliana (thale cress) ], enables protein binding, involved_in protein targeting [Refseq]"
"Q6R520","(Tilapia) Calmodulin acts as part of a calcium signal transduction pathway by mediating the control of a large number of enzymes, ion channels, aquaporins and other proteins through calcium-binding. Calcium-binding is required for the activation of calmodulin. Among the enzymes to be stimulated by the calmodulin-calcium complex are a number of protein kinases, such as myosin light-chain kinases and calmodulin-dependent protein kinase type II (CaMK2), and phosphatases. {ECO:0000250|UniProtKB:P0DP23}."
"Q95NR9","(Metridium) Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2+). Among the enzymes to be stimulated by the calmodulin-Ca(2+) complex are a number of protein kinases and phosphatases."
"Q9NZJ4"," Alpha actinins belong to the spectrin gene superfamily which represents a diverse group of cytoskeletal proteins, including the alpha and beta spectrins and dystrophins.  Alpha actinin is an actin-binding protein with multiple roles in different cell types.  In nonmuscle cells, the cytoskeletal isoform is found along microfilament bundles and adherens-type junctions, where it is involved in binding actin to the membrane.  In contrast, skeletal, cardiac, and smooth muscle isoforms are localized to the Z-disc and analogous dense bodies, where they help anchor the myofibrillar actin filaments.  This gene encodes a nonmuscle, alpha actinin isoform which is concentrated in the cytoplasm, and thought to be involved in metastatic processes.  Mutations in this gene have been associated with focal and segmental glomerulosclerosis. [provided by RefSeq, Jul 2008]"
"Q8MSU3","Enables transmembrane ascorbate ferrireductase activity. Involved in intracellular iron ion homeostasis. Located in membrane. Is expressed in adult head. Orthologous to human FRRS1 (ferric chelate reductase 1). [provided by Alliance of Genome Resources, Mar 2025]"
"Q2KJ64","(Human ortholog description) Arginase catalyzes the hydrolysis of arginine to ornithine and urea. At least two isoforms of mammalian arginase exist (types I and II) which differ in their tissue distribution, subcellular localization, immunologic crossreactivity and physiologic function. The type I isoform encoded by this gene, is a cytosolic enzyme and expressed predominantly in the liver as a component of the urea cycle. Inherited deficiency of this enzyme results in argininemia, an autosomal recessive disorder characterized by hyperammonemia. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2011]"
